Epoch 1/3
Iteration 100, Loss: 1.3212
Iteration 200, Loss: 1.1332
Iteration 300, Loss: 1.0170
Iteration 400, Loss: 0.9496
Iteration 500, Loss: 0.9106
Iteration 600, Loss: 0.8821
Iteration 700, Loss: 0.8561
Iteration 800, Loss: 0.8350
Iteration 900, Loss: 0.8152
Iteration 1000, Loss: 0.8024
Iteration 1100, Loss: 0.7934
Iteration 1200, Loss: 0.7891
Iteration 1300, Loss: 0.7805
Iteration 1400, Loss: 0.7743
Iteration 1500, Loss: 0.7708
Iteration 1600, Loss: 0.7681
Iteration 1700, Loss: 0.7608
Iteration 1800, Loss: 0.7584
Iteration 1900, Loss: 0.7569
Iteration 2000, Loss: 0.7554
Iteration 2100, Loss: 0.7523
Iteration 2200, Loss: 0.7507
Iteration 2300, Loss: 0.7473
Iteration 2400, Loss: 0.7460
Iteration 2500, Loss: 0.7438
Iteration 2600, Loss: 0.7397
Iteration 2700, Loss: 0.7371
Iteration 2800, Loss: 0.7372
Iteration 2900, Loss: 0.7357
Iteration 3000, Loss: 0.7333
Iteration 3100, Loss: 0.7324
Iteration 3200, Loss: 0.7299
Iteration 3300, Loss: 0.7278
Iteration 3400, Loss: 0.7258
Iteration 3500, Loss: 0.7240
Iteration 3600, Loss: 0.7224
Iteration 3700, Loss: 0.7225
Iteration 3800, Loss: 0.7203
Iteration 3900, Loss: 0.7191
Iteration 4000, Loss: 0.7168
Iteration 4100, Loss: 0.7154
Iteration 4200, Loss: 0.7144
Iteration 4300, Loss: 0.7142
Iteration 4400, Loss: 0.7135
Iteration 4500, Loss: 0.7127
Iteration 4600, Loss: 0.7118
Iteration 4700, Loss: 0.7114
Iteration 4800, Loss: 0.7102
Iteration 4900, Loss: 0.7093
Iteration 5000, Loss: 0.7079
Iteration 5100, Loss: 0.7066
Iteration 5200, Loss: 0.7065
Iteration 5300, Loss: 0.7053
Iteration 5400, Loss: 0.7045
Iteration 5500, Loss: 0.7044
Iteration 5600, Loss: 0.7038
Iteration 5700, Loss: 0.7028
Iteration 5800, Loss: 0.7024
Iteration 5900, Loss: 0.7005
Iteration 6000, Loss: 0.6996
Iteration 6100, Loss: 0.6994
Iteration 6200, Loss: 0.6983
Iteration 6300, Loss: 0.6974
Iteration 6400, Loss: 0.6975
Iteration 6500, Loss: 0.6968
Iteration 6600, Loss: 0.6963
Iteration 6700, Loss: 0.6962
Iteration 6800, Loss: 0.6959
Iteration 6900, Loss: 0.6951
Iteration 7000, Loss: 0.6955
Iteration 7100, Loss: 0.6949
Iteration 7200, Loss: 0.6942
Iteration 7300, Loss: 0.6939
Iteration 7400, Loss: 0.6934
Iteration 7500, Loss: 0.6929
Iteration 7600, Loss: 0.6932
Iteration 7700, Loss: 0.6927
Iteration 7800, Loss: 0.6920
Iteration 7900, Loss: 0.6921
Iteration 8000, Loss: 0.6923
Iteration 8100, Loss: 0.6919
Iteration 8200, Loss: 0.6914
Iteration 8300, Loss: 0.6913
Iteration 8400, Loss: 0.6915
Iteration 8500, Loss: 0.6910
Iteration 8600, Loss: 0.6907
Iteration 8700, Loss: 0.6906
Iteration 8800, Loss: 0.6902
Iteration 8900, Loss: 0.6895
Iteration 9000, Loss: 0.6889
Iteration 9100, Loss: 0.6884
Iteration 9200, Loss: 0.6878
