Epoch 1/3
Average epoch loss: 0.0000

Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 100, Loss: 1.2527
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 200, Loss: 1.1384
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 300, Loss: 1.0198
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 400, Loss: 0.9432
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 500, Loss: 0.8940
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 600, Loss: 0.8601
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 700, Loss: 0.8335
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 800, Loss: 0.8124
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 900, Loss: 0.7931
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1000, Loss: 0.7785
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1100, Loss: 0.7684
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1200, Loss: 0.7581
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1300, Loss: 0.7488
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1400, Loss: 0.7413
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1500, Loss: 0.7359
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1600, Loss: 0.7301
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1700, Loss: 0.7243
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1800, Loss: 0.7188
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 1900, Loss: 0.7130
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 2000, Loss: 0.7106
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 2100, Loss: 0.7056
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 2200, Loss: 0.7020
Model saved to final_model_checkpoint_1024_captions_noquant_vision
Iteration 2300, Loss: 0.6985
