Epoch 1/3
Average epoch loss: 0.0000

Model saved to final_model_checkpoint_1024_noquant_vision
Iteration 100, Loss: 1.2873
Iteration 200, Loss: 1.1241
Iteration 300, Loss: 0.9880
Iteration 400, Loss: 0.9205
Iteration 500, Loss: 0.8706
Iteration 600, Loss: 0.8358
Iteration 700, Loss: 0.8090
Iteration 800, Loss: 0.7871
Iteration 900, Loss: 0.7749
Iteration 1000, Loss: 0.7582
Iteration 1100, Loss: 0.7457
Iteration 1200, Loss: 0.7369
Iteration 1300, Loss: 0.7301
Iteration 1400, Loss: 0.7225
Iteration 1500, Loss: 0.7134
Iteration 1600, Loss: 0.7053
Iteration 1700, Loss: 0.6979
Iteration 1800, Loss: 0.6928
Iteration 1900, Loss: 0.6886
Iteration 2000, Loss: 0.6860
Iteration 2100, Loss: 0.6821
Iteration 2200, Loss: 0.6791
Iteration 2300, Loss: 0.6764
Iteration 2400, Loss: 0.6743
Iteration 2500, Loss: 0.6712
Iteration 2600, Loss: 0.6693
Iteration 2700, Loss: 0.6680
Iteration 2800, Loss: 0.6656
Iteration 2900, Loss: 0.6631
Iteration 3000, Loss: 0.6596
Iteration 3100, Loss: 0.6580
Iteration 3200, Loss: 0.6578
Iteration 3300, Loss: 0.6561
Iteration 3400, Loss: 0.6541
Iteration 3500, Loss: 0.6512
Iteration 3600, Loss: 0.6497
Iteration 3700, Loss: 0.6496
Iteration 3800, Loss: 0.6478
Iteration 3900, Loss: 0.6454
Iteration 4000, Loss: 0.6434
Iteration 4100, Loss: 0.6423
Iteration 4200, Loss: 0.6420
Iteration 4300, Loss: 0.6404
Iteration 4400, Loss: 0.6391
Iteration 4500, Loss: 0.6377
Iteration 4600, Loss: 0.6372
Iteration 4700, Loss: 0.6354
Iteration 4800, Loss: 0.6347
Iteration 4900, Loss: 0.6337
Iteration 5000, Loss: 0.6331
Iteration 5100, Loss: 0.6330
Iteration 5200, Loss: 0.6318
Iteration 5300, Loss: 0.6315
Iteration 5400, Loss: 0.6303
Iteration 5500, Loss: 0.6292
Iteration 5600, Loss: 0.6289
Iteration 5700, Loss: 0.6288
Iteration 5800, Loss: 0.6284
Iteration 5900, Loss: 0.6277
Iteration 6000, Loss: 0.6271
Iteration 6100, Loss: 0.6258
Iteration 6200, Loss: 0.6247
Iteration 6300, Loss: 0.6236
Iteration 6400, Loss: 0.6236
Iteration 6500, Loss: 0.6226
Iteration 6600, Loss: 0.6220
Iteration 6700, Loss: 0.6212
Iteration 6800, Loss: 0.6206
Iteration 6900, Loss: 0.6199
Iteration 7000, Loss: 0.6192
Iteration 7100, Loss: 0.6183
Iteration 7200, Loss: 0.6177
Iteration 7300, Loss: 0.6172
Iteration 7400, Loss: 0.6169
Iteration 7500, Loss: 0.6166
Iteration 7600, Loss: 0.6163
Iteration 7700, Loss: 0.6161
Iteration 7800, Loss: 0.6153
Iteration 7900, Loss: 0.6154
Iteration 8000, Loss: 0.6152
Iteration 8100, Loss: 0.6149
Iteration 8200, Loss: 0.6144
Iteration 8300, Loss: 0.6141
Iteration 8400, Loss: 0.6135
Iteration 8500, Loss: 0.6131
Iteration 8600, Loss: 0.6129
Iteration 8700, Loss: 0.6123
Iteration 8800, Loss: 0.6116
Iteration 8900, Loss: 0.6113
Iteration 9000, Loss: 0.6111
Iteration 9100, Loss: 0.6110
Iteration 9200, Loss: 0.6108
Iteration 9300, Loss: 0.6113
Iteration 9400, Loss: 0.6110
Iteration 9500, Loss: 0.6107
Iteration 9600, Loss: 0.6104
Iteration 9700, Loss: 0.6099
Iteration 9800, Loss: 0.6095
Iteration 9900, Loss: 0.6093
Iteration 10000, Loss: 0.6091
Iteration 10100, Loss: 0.6090
Iteration 10200, Loss: 0.6090
Iteration 10300, Loss: 0.6085
Iteration 10400, Loss: 0.6078
Iteration 10500, Loss: 0.6077
Iteration 10600, Loss: 0.6072
Iteration 10700, Loss: 0.6070
Iteration 10800, Loss: 0.6066
Iteration 10900, Loss: 0.6065
Iteration 11000, Loss: 0.6063
Iteration 11100, Loss: 0.6061
Iteration 11200, Loss: 0.6058
Iteration 11300, Loss: 0.6054
Iteration 11400, Loss: 0.6047
Iteration 11500, Loss: 0.6042
Iteration 11600, Loss: 0.6035
Iteration 11700, Loss: 0.6032
Iteration 11800, Loss: 0.6029
Iteration 11900, Loss: 0.6027
Iteration 12000, Loss: 0.6027
Iteration 12100, Loss: 0.6024
Iteration 12200, Loss: 0.6023
Iteration 12300, Loss: 0.6022
Iteration 12400, Loss: 0.6020
Iteration 12500, Loss: 0.6020
Iteration 12600, Loss: 0.6019
Iteration 12700, Loss: 0.6019
Iteration 12800, Loss: 0.6019
Iteration 12900, Loss: 0.6017
Iteration 13000, Loss: 0.6012
Iteration 13100, Loss: 0.6011
Iteration 13200, Loss: 0.6009
Iteration 13300, Loss: 0.6006
Iteration 13400, Loss: 0.6005
Iteration 13500, Loss: 0.6007
Iteration 13600, Loss: 0.6004
Iteration 13700, Loss: 0.6002
Iteration 13800, Loss: 0.6002
Iteration 13900, Loss: 0.5998
Iteration 14000, Loss: 0.5999
Iteration 14100, Loss: 0.5998
Iteration 14200, Loss: 0.5995
Iteration 14300, Loss: 0.5994
Iteration 14400, Loss: 0.5993
Iteration 14500, Loss: 0.5991
Iteration 14600, Loss: 0.5989
Iteration 14700, Loss: 0.5988
Iteration 14800, Loss: 0.5988
Iteration 14900, Loss: 0.5986
Iteration 15000, Loss: 0.5982
Iteration 15100, Loss: 0.5983
Iteration 15200, Loss: 0.5982
Iteration 15300, Loss: 0.5984
Iteration 15400, Loss: 0.5982
Iteration 15500, Loss: 0.5982
Iteration 15600, Loss: 0.5979
Iteration 15700, Loss: 0.5980
Iteration 15800, Loss: 0.5978
Iteration 15900, Loss: 0.5977
Iteration 16000, Loss: 0.5972
Iteration 16100, Loss: 0.5973
Iteration 16200, Loss: 0.5975
Iteration 16300, Loss: 0.5971
Iteration 16400, Loss: 0.5969
Iteration 16500, Loss: 0.5968
Iteration 16600, Loss: 0.5967
Iteration 16700, Loss: 0.5968
Iteration 16800, Loss: 0.5966
Iteration 16900, Loss: 0.5966
Iteration 17000, Loss: 0.5965
Iteration 17100, Loss: 0.5961
Iteration 17200, Loss: 0.5959
Iteration 17300, Loss: 0.5959
Iteration 17400, Loss: 0.5959
Iteration 17500, Loss: 0.5957
Iteration 17600, Loss: 0.5956
Iteration 17700, Loss: 0.5954
Iteration 17800, Loss: 0.5951
Iteration 17900, Loss: 0.5946
Iteration 18000, Loss: 0.5944
