Epoch 1/3
Average epoch loss: 0.0000

Model saved to final_model_checkpoint_2048_captions_noquant
Iteration 100, Loss: 1.3278
Model saved to final_model_checkpoint_2048
Iteration 200, Loss: 1.1421
Model saved to final_model_checkpoint_2048
Iteration 300, Loss: 1.0385
Model saved to final_model_checkpoint_2048
Iteration 400, Loss: 0.9805
Model saved to final_model_checkpoint_2048
Iteration 500, Loss: 0.9364
Model saved to final_model_checkpoint_2048
Iteration 600, Loss: 0.9053
Model saved to final_model_checkpoint_2048
Iteration 700, Loss: 0.8888
Model saved to final_model_checkpoint_2048
Iteration 800, Loss: 0.8657
Model saved to final_model_checkpoint_2048
Iteration 900, Loss: 0.8532
Model saved to final_model_checkpoint_2048
Iteration 1000, Loss: 0.8403
Model saved to final_model_checkpoint_2048
Iteration 1100, Loss: 0.8273
Model saved to final_model_checkpoint_2048
Iteration 1200, Loss: 0.8187
Model saved to final_model_checkpoint_2048
Iteration 1300, Loss: 0.8108
Model saved to final_model_checkpoint_2048
Iteration 1400, Loss: 0.8026
Model saved to final_model_checkpoint_2048
Iteration 1500, Loss: 0.7990
Model saved to final_model_checkpoint_2048
Iteration 1600, Loss: 0.7941
Model saved to final_model_checkpoint_2048
Iteration 1700, Loss: 0.7930
Model saved to final_model_checkpoint_2048
Iteration 1800, Loss: 0.7922
Model saved to final_model_checkpoint_2048
Iteration 1900, Loss: 0.7868
Model saved to final_model_checkpoint_2048
Iteration 2000, Loss: 0.7818
Model saved to final_model_checkpoint_2048
Iteration 2100, Loss: 0.7785
Model saved to final_model_checkpoint_2048
Iteration 2200, Loss: 0.7744
Model saved to final_model_checkpoint_2048
Iteration 2300, Loss: 0.7705
Model saved to final_model_checkpoint_2048
Iteration 2400, Loss: 0.7669
Model saved to final_model_checkpoint_2048
Iteration 2500, Loss: 0.7623
Model saved to final_model_checkpoint_2048
Iteration 2600, Loss: 0.7598
Model saved to final_model_checkpoint_2048
Iteration 2700, Loss: 0.7578
Model saved to final_model_checkpoint_2048
Iteration 2800, Loss: 0.7559
Model saved to final_model_checkpoint_2048
Iteration 2900, Loss: 0.7546
Model saved to final_model_checkpoint_2048
Iteration 3000, Loss: 0.7527
Model saved to final_model_checkpoint_2048
Iteration 3100, Loss: 0.7527
Model saved to final_model_checkpoint_2048
Iteration 3200, Loss: 0.7511
Model saved to final_model_checkpoint_2048
Iteration 3300, Loss: 0.7482
Model saved to final_model_checkpoint_2048
Iteration 3400, Loss: 0.7464
Model saved to final_model_checkpoint_2048
Iteration 3500, Loss: 0.7453
Model saved to final_model_checkpoint_2048
Iteration 3600, Loss: 0.7428
Model saved to final_model_checkpoint_2048
Iteration 3700, Loss: 0.7411
Model saved to final_model_checkpoint_2048
Iteration 3800, Loss: 0.7397
Model saved to final_model_checkpoint_2048
Iteration 3900, Loss: 0.7380
Model saved to final_model_checkpoint_2048
Iteration 4000, Loss: 0.7369
Model saved to final_model_checkpoint_2048
Iteration 4100, Loss: 0.7366
Model saved to final_model_checkpoint_2048
Iteration 4200, Loss: 0.7354
Model saved to final_model_checkpoint_2048
Iteration 4300, Loss: 0.7345
Model saved to final_model_checkpoint_2048
Iteration 4400, Loss: 0.7337
