Epoch 1/3
Iteration 100, Loss: 1.3075
Iteration 200, Loss: 1.1127
Iteration 300, Loss: 1.0011
Iteration 400, Loss: 0.9347
Iteration 500, Loss: 0.8982
Iteration 600, Loss: 0.8641
Iteration 700, Loss: 0.8492
Iteration 800, Loss: 0.8297
Iteration 900, Loss: 0.8115
Iteration 1000, Loss: 0.7961
Iteration 1100, Loss: 0.7886
Iteration 1200, Loss: 0.7814
Iteration 1300, Loss: 0.7744
Iteration 1400, Loss: 0.7669
Iteration 1500, Loss: 0.7608
Iteration 1600, Loss: 0.7561
Iteration 1700, Loss: 0.7526
Iteration 1800, Loss: 0.7488
Iteration 1900, Loss: 0.7422
Iteration 2000, Loss: 0.7392
Iteration 2100, Loss: 0.7353
Iteration 2200, Loss: 0.7327
Iteration 2300, Loss: 0.7300
Iteration 2400, Loss: 0.7290
Iteration 2500, Loss: 0.7285
Iteration 2600, Loss: 0.7250
Iteration 2700, Loss: 0.7230
Iteration 2800, Loss: 0.7199
Iteration 2900, Loss: 0.7189
Iteration 3000, Loss: 0.7170
Iteration 3100, Loss: 0.7168
Iteration 3200, Loss: 0.7156
Iteration 3300, Loss: 0.7131
Iteration 3400, Loss: 0.7107
Iteration 3500, Loss: 0.7092
Iteration 3600, Loss: 0.7079
Iteration 3700, Loss: 0.7064
Iteration 3800, Loss: 0.7052
Iteration 3900, Loss: 0.7037
Iteration 4000, Loss: 0.7032
Iteration 4100, Loss: 0.7032
Iteration 4200, Loss: 0.7032
Iteration 4300, Loss: 0.7014
Iteration 4400, Loss: 0.7007
Iteration 4500, Loss: 0.7004
Iteration 4600, Loss: 0.6988
Iteration 4700, Loss: 0.6980
Iteration 4800, Loss: 0.6972
Iteration 4900, Loss: 0.6970
Iteration 5000, Loss: 0.6972
Iteration 5100, Loss: 0.6969
Iteration 5200, Loss: 0.6960
Iteration 5300, Loss: 0.6960
Iteration 5400, Loss: 0.6953
Iteration 5500, Loss: 0.6949
Iteration 5600, Loss: 0.6956
Iteration 5700, Loss: 0.6939
Iteration 5800, Loss: 0.6930
Iteration 5900, Loss: 0.6920
Iteration 6000, Loss: 0.6910
Iteration 6100, Loss: 0.6910
Iteration 6200, Loss: 0.6904
Iteration 6300, Loss: 0.6896
Iteration 6400, Loss: 0.6886
Iteration 6500, Loss: 0.6887
Iteration 6600, Loss: 0.6879
Iteration 6700, Loss: 0.6871
Iteration 6800, Loss: 0.6870
Iteration 6900, Loss: 0.6866
Iteration 7000, Loss: 0.6864
Iteration 7100, Loss: 0.6857
Iteration 7200, Loss: 0.6849
Iteration 7300, Loss: 0.6837
Iteration 7400, Loss: 0.6829
Iteration 7500, Loss: 0.6823
Iteration 7600, Loss: 0.6824
Iteration 7700, Loss: 0.6818
Iteration 7800, Loss: 0.6809
Iteration 7900, Loss: 0.6807
Iteration 8000, Loss: 0.6802
Iteration 8100, Loss: 0.6803
Iteration 8200, Loss: 0.6799
Iteration 8300, Loss: 0.6797
Iteration 8400, Loss: 0.6793
Iteration 8500, Loss: 0.6787
Iteration 8600, Loss: 0.6790
Iteration 8700, Loss: 0.6781
Iteration 8800, Loss: 0.6779
Iteration 8900, Loss: 0.6771
Iteration 9000, Loss: 0.6769
Iteration 9100, Loss: 0.6764
Iteration 9200, Loss: 0.6760
Iteration 9300, Loss: 0.6755
Iteration 9400, Loss: 0.6749
Iteration 9500, Loss: 0.6747
Iteration 9600, Loss: 0.6742
Iteration 9700, Loss: 0.6737
Iteration 9800, Loss: 0.6733
Iteration 9900, Loss: 0.6730
Iteration 10000, Loss: 0.6732
Iteration 10100, Loss: 0.6730
Iteration 10200, Loss: 0.6729
Iteration 10300, Loss: 0.6730
Iteration 10400, Loss: 0.6723
Iteration 10500, Loss: 0.6721
Iteration 10600, Loss: 0.6716
Iteration 10700, Loss: 0.6711
Iteration 10800, Loss: 0.6708
Iteration 10900, Loss: 0.6708
Iteration 11000, Loss: 0.6706
Iteration 11100, Loss: 0.6704
Iteration 11200, Loss: 0.6698
Iteration 11300, Loss: 0.6698
Iteration 11400, Loss: 0.6697
Iteration 11500, Loss: 0.6694
Iteration 11600, Loss: 0.6689
Iteration 11700, Loss: 0.6686
Iteration 11800, Loss: 0.6689
Iteration 11900, Loss: 0.6687
Iteration 12000, Loss: 0.6686
Iteration 12100, Loss: 0.6679
Iteration 12200, Loss: 0.6683
Iteration 12300, Loss: 0.6682
Iteration 12400, Loss: 0.6680
Iteration 12500, Loss: 0.6677
Iteration 12600, Loss: 0.6674
Iteration 12700, Loss: 0.6669
Iteration 12800, Loss: 0.6666
Iteration 12900, Loss: 0.6665
Iteration 13000, Loss: 0.6660
Iteration 13100, Loss: 0.6658
Iteration 13200, Loss: 0.6658
Iteration 13300, Loss: 0.6654
Iteration 13400, Loss: 0.6655
Iteration 13500, Loss: 0.6653
Iteration 13600, Loss: 0.6652
Iteration 13700, Loss: 0.6647
Iteration 13800, Loss: 0.6646
Iteration 13900, Loss: 0.6643
Iteration 14000, Loss: 0.6639
Iteration 14100, Loss: 0.6634
Iteration 14200, Loss: 0.6634
Iteration 14300, Loss: 0.6631
Iteration 14400, Loss: 0.6632
Iteration 14500, Loss: 0.6634
Iteration 14600, Loss: 0.6632
Iteration 14700, Loss: 0.6633
Iteration 14800, Loss: 0.6633
Iteration 14900, Loss: 0.6632
Iteration 15000, Loss: 0.6630
Iteration 15100, Loss: 0.6631
Iteration 15200, Loss: 0.6630
Iteration 15300, Loss: 0.6630
Iteration 15400, Loss: 0.6627
Iteration 15500, Loss: 0.6624
Iteration 15600, Loss: 0.6624
Iteration 15700, Loss: 0.6617
Iteration 15800, Loss: 0.6617
Iteration 15900, Loss: 0.6616
Iteration 16000, Loss: 0.6618
Iteration 16100, Loss: 0.6617
Iteration 16200, Loss: 0.6617
Iteration 16300, Loss: 0.6615
Iteration 16400, Loss: 0.6615
Iteration 16500, Loss: 0.6614
Iteration 16600, Loss: 0.6614
Iteration 16700, Loss: 0.6610
Iteration 16800, Loss: 0.6611
Iteration 16900, Loss: 0.6609
Iteration 17000, Loss: 0.6608
Iteration 17100, Loss: 0.6608
Iteration 17200, Loss: 0.6607
Iteration 17300, Loss: 0.6607
Iteration 17400, Loss: 0.6606
Iteration 17500, Loss: 0.6603
Iteration 17600, Loss: 0.6602
Iteration 17700, Loss: 0.6601
Iteration 17800, Loss: 0.6602
Iteration 17900, Loss: 0.6601
Iteration 18000, Loss: 0.6601
Iteration 18100, Loss: 0.6596
Iteration 18200, Loss: 0.6597
Iteration 18300, Loss: 0.6595
Iteration 18400, Loss: 0.6595
Iteration 18500, Loss: 0.6594
Iteration 18600, Loss: 0.6592
Iteration 18700, Loss: 0.6592
Iteration 18800, Loss: 0.6591
Iteration 18900, Loss: 0.6589
Iteration 19000, Loss: 0.6589
Iteration 19100, Loss: 0.6585
Iteration 19200, Loss: 0.6587
Iteration 19300, Loss: 0.6586
Iteration 19400, Loss: 0.6586
Iteration 19500, Loss: 0.6585
Iteration 19600, Loss: 0.6582
Iteration 19700, Loss: 0.6582
Iteration 19800, Loss: 0.6583
Iteration 19900, Loss: 0.6585
Iteration 20000, Loss: 0.6586
Iteration 20100, Loss: 0.6586
Iteration 20200, Loss: 0.6586
Iteration 20300, Loss: 0.6585
Iteration 20400, Loss: 0.6584
Iteration 20500, Loss: 0.6584
Iteration 20600, Loss: 0.6582
Iteration 20700, Loss: 0.6582
Iteration 20800, Loss: 0.6582
Iteration 20900, Loss: 0.6581
Iteration 21000, Loss: 0.6579
Iteration 21100, Loss: 0.6577
Iteration 21200, Loss: 0.6577
Iteration 21300, Loss: 0.6578
Iteration 21400, Loss: 0.6578
Iteration 21500, Loss: 0.6578
Iteration 21600, Loss: 0.6576
Iteration 21700, Loss: 0.6575
Iteration 21800, Loss: 0.6575
Iteration 21900, Loss: 0.6575
Iteration 22000, Loss: 0.6574
Iteration 22100, Loss: 0.6573
Iteration 22200, Loss: 0.6574
Iteration 22300, Loss: 0.6573
Iteration 22400, Loss: 0.6573
Iteration 22500, Loss: 0.6572
Iteration 22600, Loss: 0.6572
Iteration 22700, Loss: 0.6573
Iteration 22800, Loss: 0.6571
Iteration 22900, Loss: 0.6571
Iteration 23000, Loss: 0.6569
Iteration 23100, Loss: 0.6569
Iteration 23200, Loss: 0.6567
Iteration 23300, Loss: 0.6567
Iteration 23400, Loss: 0.6565
Iteration 23500, Loss: 0.6564
Iteration 23600, Loss: 0.6563
Iteration 23700, Loss: 0.6562
Iteration 23800, Loss: 0.6562
Iteration 23900, Loss: 0.6561
Iteration 24000, Loss: 0.6560
Iteration 24100, Loss: 0.6559
Iteration 24200, Loss: 0.6558
Iteration 24300, Loss: 0.6560
Iteration 24400, Loss: 0.6559
Iteration 24500, Loss: 0.6558
Iteration 24600, Loss: 0.6560
Iteration 24700, Loss: 0.6560
Iteration 24800, Loss: 0.6560
Iteration 24900, Loss: 0.6558
Iteration 25000, Loss: 0.6557
Iteration 25100, Loss: 0.6557
Iteration 25200, Loss: 0.6558
Iteration 25300, Loss: 0.6559
Iteration 25400, Loss: 0.6558
Iteration 25500, Loss: 0.6556
Iteration 25600, Loss: 0.6554
Iteration 25700, Loss: 0.6554
Iteration 25800, Loss: 0.6554
Iteration 25900, Loss: 0.6556
Iteration 26000, Loss: 0.6555
Iteration 26100, Loss: 0.6553
Iteration 26200, Loss: 0.6552
Iteration 26300, Loss: 0.6551
Iteration 26400, Loss: 0.6550
Iteration 26500, Loss: 0.6550
Iteration 26600, Loss: 0.6550
Iteration 26700, Loss: 0.6548
Iteration 26800, Loss: 0.6548
Iteration 26900, Loss: 0.6547
Iteration 27000, Loss: 0.6545
Iteration 27100, Loss: 0.6544
Iteration 27200, Loss: 0.6542
Iteration 27300, Loss: 0.6541
Iteration 27400, Loss: 0.6543
Iteration 27500, Loss: 0.6542
Iteration 27600, Loss: 0.6541
Iteration 27700, Loss: 0.6543
Iteration 27800, Loss: 0.6543
Iteration 27900, Loss: 0.6542
Iteration 28000, Loss: 0.6541
Iteration 28100, Loss: 0.6540
Iteration 28200, Loss: 0.6540
Iteration 28300, Loss: 0.6539
Iteration 28400, Loss: 0.6540
Iteration 28500, Loss: 0.6539
Iteration 28600, Loss: 0.6537
Iteration 28700, Loss: 0.6536
Iteration 28800, Loss: 0.6534
Iteration 28900, Loss: 0.6533
Iteration 29000, Loss: 0.6535
Iteration 29100, Loss: 0.6534
Iteration 29200, Loss: 0.6534
Iteration 29300, Loss: 0.6535
Iteration 29400, Loss: 0.6534
Iteration 29500, Loss: 0.6533
Iteration 29600, Loss: 0.6530
Iteration 29700, Loss: 0.6529
Iteration 29800, Loss: 0.6529
Iteration 29900, Loss: 0.6529
Iteration 30000, Loss: 0.6528
Iteration 30100, Loss: 0.6529
Iteration 30200, Loss: 0.6528
Iteration 30300, Loss: 0.6528
Iteration 30400, Loss: 0.6527
Iteration 30500, Loss: 0.6525
Iteration 30600, Loss: 0.6524
Iteration 30700, Loss: 0.6524
Iteration 30800, Loss: 0.6523
Iteration 30900, Loss: 0.6522
Iteration 31000, Loss: 0.6521
Iteration 31100, Loss: 0.6521
Iteration 31200, Loss: 0.6520
Iteration 31300, Loss: 0.6519
Iteration 31400, Loss: 0.6520
Iteration 31500, Loss: 0.6520
Iteration 31600, Loss: 0.6519
Iteration 31700, Loss: 0.6519
Iteration 31800, Loss: 0.6519
Iteration 31900, Loss: 0.6518
Iteration 32000, Loss: 0.6516
Iteration 32100, Loss: 0.6515
Iteration 32200, Loss: 0.6514
Iteration 32300, Loss: 0.6515
Iteration 32400, Loss: 0.6515
Iteration 32500, Loss: 0.6514
Iteration 32600, Loss: 0.6515
Iteration 32700, Loss: 0.6514
Iteration 32800, Loss: 0.6513
Iteration 32900, Loss: 0.6513
Iteration 33000, Loss: 0.6513
Iteration 33100, Loss: 0.6513
Iteration 33200, Loss: 0.6513
Iteration 33300, Loss: 0.6513
Iteration 33400, Loss: 0.6512
Iteration 33500, Loss: 0.6511
Iteration 33600, Loss: 0.6510
Iteration 33700, Loss: 0.6510
Iteration 33800, Loss: 0.6510
Iteration 33900, Loss: 0.6509
Iteration 34000, Loss: 0.6509
Iteration 34100, Loss: 0.6508
Iteration 34200, Loss: 0.6509
Iteration 34300, Loss: 0.6509
Iteration 34400, Loss: 0.6509
Iteration 34500, Loss: 0.6508
Iteration 34600, Loss: 0.6507
Iteration 34700, Loss: 0.6505
Iteration 34800, Loss: 0.6505
Iteration 34900, Loss: 0.6504
Iteration 35000, Loss: 0.6504
Iteration 35100, Loss: 0.6504
Iteration 35200, Loss: 0.6502
Iteration 35300, Loss: 0.6503
Iteration 35400, Loss: 0.6504
Iteration 35500, Loss: 0.6504
Iteration 35600, Loss: 0.6503
Iteration 35700, Loss: 0.6502
Iteration 35800, Loss: 0.6501
Iteration 35900, Loss: 0.6501
Iteration 36000, Loss: 0.6500
Iteration 36100, Loss: 0.6499
Iteration 36200, Loss: 0.6500
Iteration 36300, Loss: 0.6499
Iteration 36400, Loss: 0.6499
Iteration 36500, Loss: 0.6499
Iteration 36600, Loss: 0.6500
Iteration 36700, Loss: 0.6500
Iteration 36800, Loss: 0.6500
Iteration 36900, Loss: 0.6498
Iteration 37000, Loss: 0.6497
Iteration 37100, Loss: 0.6497
Iteration 37200, Loss: 0.6497
Iteration 37300, Loss: 0.6496
Iteration 37400, Loss: 0.6496
Iteration 37500, Loss: 0.6495
Iteration 37600, Loss: 0.6495
Iteration 37700, Loss: 0.6494
Iteration 37800, Loss: 0.6495
Iteration 37900, Loss: 0.6494
Iteration 38000, Loss: 0.6494
Iteration 38100, Loss: 0.6494
Iteration 38200, Loss: 0.6492
Iteration 38300, Loss: 0.6492
Iteration 38400, Loss: 0.6491
Iteration 38500, Loss: 0.6491
Iteration 38600, Loss: 0.6491
Iteration 38700, Loss: 0.6490
Iteration 38800, Loss: 0.6489
Iteration 38900, Loss: 0.6488
Iteration 39000, Loss: 0.6488
Iteration 39100, Loss: 0.6489
Iteration 39200, Loss: 0.6488
Iteration 39300, Loss: 0.6488
Iteration 39400, Loss: 0.6489
Iteration 39500, Loss: 0.6488
Iteration 39600, Loss: 0.6488
Iteration 39700, Loss: 0.6488
Iteration 39800, Loss: 0.6489
Iteration 39900, Loss: 0.6488
Iteration 40000, Loss: 0.6488
Iteration 40100, Loss: 0.6488
Iteration 40200, Loss: 0.6488
Iteration 40300, Loss: 0.6489
Iteration 40400, Loss: 0.6488
Iteration 40500, Loss: 0.6488
Iteration 40600, Loss: 0.6488
Iteration 40700, Loss: 0.6488
Iteration 40800, Loss: 0.6488
Iteration 40900, Loss: 0.6487
Iteration 41000, Loss: 0.6487
Iteration 41100, Loss: 0.6486
Iteration 41200, Loss: 0.6487
Iteration 41300, Loss: 0.6486
Iteration 41400, Loss: 0.6487
Iteration 41500, Loss: 0.6487
Iteration 41600, Loss: 0.6486
Iteration 41700, Loss: 0.6486
Iteration 41800, Loss: 0.6486
Iteration 41900, Loss: 0.6486
Iteration 42000, Loss: 0.6486
Iteration 42100, Loss: 0.6485
Iteration 42200, Loss: 0.6484
Iteration 42300, Loss: 0.6483
Iteration 42400, Loss: 0.6483
Iteration 42500, Loss: 0.6483
Iteration 42600, Loss: 0.6482
Iteration 42700, Loss: 0.6481
Iteration 42800, Loss: 0.6481
Iteration 42900, Loss: 0.6481
Iteration 43000, Loss: 0.6481
Iteration 43100, Loss: 0.6481
Iteration 43200, Loss: 0.6480
Iteration 43300, Loss: 0.6481
Iteration 43400, Loss: 0.6480
Iteration 43500, Loss: 0.6480
Iteration 43600, Loss: 0.6479
Iteration 43700, Loss: 0.6478
Iteration 43800, Loss: 0.6477
Iteration 43900, Loss: 0.6477
Iteration 44000, Loss: 0.6476
Iteration 44100, Loss: 0.6477
Iteration 44200, Loss: 0.6476
Iteration 44300, Loss: 0.6475
Iteration 44400, Loss: 0.6474
Iteration 44500, Loss: 0.6474
Iteration 44600, Loss: 0.6474
Iteration 44700, Loss: 0.6474
Iteration 44800, Loss: 0.6473
Iteration 44900, Loss: 0.6473
Iteration 45000, Loss: 0.6472
Iteration 45100, Loss: 0.6471
Iteration 45200, Loss: 0.6471
Iteration 45300, Loss: 0.6471
Iteration 45400, Loss: 0.6470
Iteration 45500, Loss: 0.6469
Iteration 45600, Loss: 0.6469
Iteration 45700, Loss: 0.6469
Iteration 45800, Loss: 0.6468
Iteration 45900, Loss: 0.6469
Iteration 46000, Loss: 0.6468
Iteration 46100, Loss: 0.6468
Iteration 46200, Loss: 0.6468
Iteration 46300, Loss: 0.6469
Iteration 46400, Loss: 0.6468
Iteration 46500, Loss: 0.6468
Iteration 46600, Loss: 0.6467
Iteration 46700, Loss: 0.6466
Iteration 46800, Loss: 0.6467
Iteration 46900, Loss: 0.6468
Iteration 47000, Loss: 0.6468
Iteration 47100, Loss: 0.6467
Iteration 47200, Loss: 0.6467
Iteration 47300, Loss: 0.6467
Iteration 47400, Loss: 0.6467
Iteration 47500, Loss: 0.6467
Iteration 47600, Loss: 0.6466
Iteration 47700, Loss: 0.6466
Iteration 47800, Loss: 0.6465
Iteration 47900, Loss: 0.6464
Iteration 48000, Loss: 0.6464
Iteration 48100, Loss: 0.6464
Iteration 48200, Loss: 0.6464
Iteration 48300, Loss: 0.6462
Iteration 48400, Loss: 0.6462
Iteration 48500, Loss: 0.6462
Iteration 48600, Loss: 0.6462
Iteration 48700, Loss: 0.6460
Iteration 48800, Loss: 0.6460
Iteration 48900, Loss: 0.6460
Iteration 49000, Loss: 0.6459
Iteration 49100, Loss: 0.6459
Iteration 49200, Loss: 0.6458
Iteration 49300, Loss: 0.6457
Iteration 49400, Loss: 0.6457
Iteration 49500, Loss: 0.6457
Iteration 49600, Loss: 0.6456
Average epoch loss: 0.6456

Epoch 2/3
Iteration 100, Loss: 0.6006
Iteration 200, Loss: 0.6030
Iteration 300, Loss: 0.6066
Iteration 400, Loss: 0.6181
Iteration 500, Loss: 0.6192
Iteration 600, Loss: 0.6224
Iteration 700, Loss: 0.6347
Iteration 800, Loss: 0.6387
Iteration 900, Loss: 0.6352
Iteration 1000, Loss: 0.6349
Iteration 1100, Loss: 0.6326
Iteration 1200, Loss: 0.6335
Iteration 1300, Loss: 0.6338
Iteration 1400, Loss: 0.6308
Iteration 1500, Loss: 0.6319
Iteration 1600, Loss: 0.6329
Iteration 1700, Loss: 0.6310
Iteration 1800, Loss: 0.6299
Iteration 1900, Loss: 0.6273
Iteration 2000, Loss: 0.6286
Iteration 2100, Loss: 0.6274
Iteration 2200, Loss: 0.6273
Iteration 2300, Loss: 0.6269
Iteration 2400, Loss: 0.6265
Iteration 2500, Loss: 0.6262
Iteration 2600, Loss: 0.6254
Iteration 2700, Loss: 0.6277
Iteration 2800, Loss: 0.6287
Iteration 2900, Loss: 0.6272
Iteration 3000, Loss: 0.6272
Iteration 3100, Loss: 0.6269
Iteration 3200, Loss: 0.6268
Iteration 3300, Loss: 0.6261
Iteration 3400, Loss: 0.6256
Iteration 3500, Loss: 0.6266
Iteration 3600, Loss: 0.6266
Iteration 3700, Loss: 0.6286
Iteration 3800, Loss: 0.6271
Iteration 3900, Loss: 0.6273
Iteration 4000, Loss: 0.6271
Iteration 4100, Loss: 0.6275
Iteration 4200, Loss: 0.6277
Iteration 4300, Loss: 0.6274
Iteration 4400, Loss: 0.6268
Iteration 4500, Loss: 0.6269
Iteration 4600, Loss: 0.6272
Iteration 4700, Loss: 0.6264
Iteration 4800, Loss: 0.6269
Iteration 4900, Loss: 0.6269
Iteration 5000, Loss: 0.6278
Iteration 5100, Loss: 0.6272
Iteration 5200, Loss: 0.6267
Iteration 5300, Loss: 0.6271
Iteration 5400, Loss: 0.6271
Iteration 5500, Loss: 0.6265
Iteration 5600, Loss: 0.6259
Iteration 5700, Loss: 0.6252
Iteration 5800, Loss: 0.6256
Iteration 5900, Loss: 0.6253
Iteration 6000, Loss: 0.6245
Iteration 6100, Loss: 0.6241
Iteration 6200, Loss: 0.6232
Iteration 6300, Loss: 0.6235
Iteration 6400, Loss: 0.6232
Iteration 6500, Loss: 0.6232
Iteration 6600, Loss: 0.6230
Iteration 6700, Loss: 0.6220
Iteration 6800, Loss: 0.6217
Iteration 6900, Loss: 0.6218
Iteration 7000, Loss: 0.6217
Iteration 7100, Loss: 0.6219
Iteration 7200, Loss: 0.6219
Iteration 7300, Loss: 0.6219
Iteration 7400, Loss: 0.6223
Iteration 7500, Loss: 0.6223
Iteration 7600, Loss: 0.6228
Iteration 7700, Loss: 0.6226
Iteration 7800, Loss: 0.6230
Iteration 7900, Loss: 0.6232
Iteration 8000, Loss: 0.6226
Iteration 8100, Loss: 0.6227
Iteration 8200, Loss: 0.6230
Iteration 8300, Loss: 0.6230
Iteration 8400, Loss: 0.6232
Iteration 8500, Loss: 0.6233
Iteration 8600, Loss: 0.6230
Iteration 8700, Loss: 0.6227
Iteration 8800, Loss: 0.6227
Iteration 8900, Loss: 0.6221
Iteration 9000, Loss: 0.6220
Iteration 9100, Loss: 0.6219
Iteration 9200, Loss: 0.6218
Iteration 9300, Loss: 0.6215
Iteration 9400, Loss: 0.6212
Iteration 9500, Loss: 0.6214
Iteration 9600, Loss: 0.6215
Iteration 9700, Loss: 0.6214
Iteration 9800, Loss: 0.6209
Iteration 9900, Loss: 0.6211
Iteration 10000, Loss: 0.6213
Iteration 10100, Loss: 0.6212
Iteration 10200, Loss: 0.6209
Iteration 10300, Loss: 0.6208
Iteration 10400, Loss: 0.6208
Iteration 10500, Loss: 0.6205
Iteration 10600, Loss: 0.6206
Iteration 10700, Loss: 0.6204
Iteration 10800, Loss: 0.6206
Iteration 10900, Loss: 0.6210
Iteration 11000, Loss: 0.6207
Iteration 11100, Loss: 0.6206
Iteration 11200, Loss: 0.6212
Iteration 11300, Loss: 0.6217
Iteration 11400, Loss: 0.6215
Iteration 11500, Loss: 0.6216
Iteration 11600, Loss: 0.6220
Iteration 11700, Loss: 0.6220
